Date,Fetterman,Oz
2022-07-14,48.0,40.5
2022-07-15,48.0,40.5
2022-07-16,48.0,40.5
2022-07-17,48.0,40.5
2022-07-18,48.0,40.5
2022-07-19,48.0,40.5
2022-07-20,48.0,40.5
2022-07-21,48.0,40.5
2022-07-22,48.0,40.5
2022-07-23,48.0,40.5
2022-07-24,48.0,40.5
2022-07-25,48.0,40.5
2022-07-26,48.0,40.5
2022-07-27,48.0,40.5
2022-07-28,47.7,39.0
2022-07-29,47.7,39.0
2022-07-30,47.7,39.0
2022-07-31,47.7,39.0
2022-08-01,47.7,39.0
2022-08-02,47.7,39.0
2022-08-03,47.7,39.0
2022-08-04,47.7,39.0
2022-08-05,47.7,39.0
2022-08-06,47.7,39.0
2022-08-07,47.7,39.0
2022-08-08,47.7,39.0
2022-08-09,47.7,39.0
2022-08-10,47.7,39.0
2022-08-11,47.7,39.0
2022-08-12,47.7,39.0
2022-08-13,47.7,39.0
2022-08-14,47.7,39.0
2022-08-15,47.7,39.0
2022-08-16,47.7,39.0
2022-08-17,47.7,39.0
2022-08-18,47.8,40.3
2022-08-19,47.8,40.3
2022-08-20,47.8,40.3
2022-08-21,47.8,40.3
2022-08-22,47.8,40.3
2022-08-23,47.8,40.3
2022-08-24,47.8,40.3
2022-08-25,47.8,41.0
2022-08-26,47.8,41.0
2022-08-27,47.8,41.0
2022-08-28,47.8,41.0
2022-08-29,47.8,41.0
2022-08-30,48.0,41.5
2022-08-31,48.0,41.5
2022-09-01,48.0,41.5
2022-09-02,48.4,42.4
2022-09-03,48.4,42.4
2022-09-04,48.4,42.4
2022-09-05,48.4,42.4
2022-09-06,48.4,42.4
2022-09-07,48.3,44.0
2022-09-08,48.3,44.0
2022-09-09,48.3,44.0
2022-09-10,48.3,44.0
2022-09-11,48.3,44.0
2022-09-12,48.3,44.0
2022-09-13,48.3,44.0
2022-09-14,49.3,44.8
2022-09-15,49.3,44.8
2022-09-16,49.3,45.3
2022-09-17,49.3,45.3
2022-09-18,49.3,45.3
2022-09-19,49.3,45.3
2022-09-20,49.3,45.3
2022-09-21,49.3,45.3
2022-09-22,49.2,45.0
2022-09-23,49.2,45.0
2022-09-24,49.2,45.0
2022-09-25,49.2,45.0
2022-09-26,49.5,44.8
2022-09-27,48.9,44.4
2022-09-28,48.8,44.4
2022-09-29,48.6,44.2
2022-09-30,48.2,44.1
2022-10-01,48.2,44.1
2022-10-02,48.0,43.7
2022-10-03,48.0,43.7
2022-10-04,47.6,43.3
2022-10-05,47.4,43.3
2022-10-06,47.1,43.1
2022-10-07,47.0,42.7
2022-10-08,46.2,42.4
2022-10-09,46.0,42.3
2022-10-10,46.0,42.3
2022-10-11,46.0,42.3
2022-10-12,46.0,42.3
2022-10-13,46.2,42.8
